Name,Link,Type,Program(s),List,Score,Aliases,Addresses,Country
ABID ALI KHAN TRANSNATIONAL CRIMINAL ORGANIZATION,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=30166,Entity,TCO,SDN,,, Pakistan; Afghanistan; United Arab Emirates,Afghanistan
AL-QA'IDA IN THE INDIAN SUBCONTINENT,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=20159,Entity,FTO; SDGT,SDN,,strong: AL-QAEDA IN THE INDIAN SUBCONTINENT; strong: QAEDAT AL-JIHAD IN THE INDIAN SUBCONTINENT, Afghanistan; Pakistan; Bangladesh,Afghanistan
ARIAN BANK,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=25417,Entity,IFSR; SDGT,SDN,,,"House 103, Shir Ali Khan Street, Charahi Torabaz Khan, District 10, Kabul, Afghanistan; Sherpoor, Hajj and religious affairs directorate Square, Etisalat Street, Kabul, Afghanistan; Opposite of Attorney General, Hanzala Mosque Road, Shahre now, Kabul, Afghanistan; PO Box 5810, Afghanistan; Ferdawsi Street (old telecommunication street), Between Alley 12 & 14, Herat, Afghanistan",Afghanistan
BANK SADERAT IRAN,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=10368,Entity,IFSR; IRAN; SDGT,SDN,,strong: IRAN EXPORT BANK,"PO Box 15745-631, Bank Saderat Tower, 43 Somayeh Avenue, Tehran, Iran; 16 rue de la Paix, Paris, 75002, France; Postfach 160151, Friedenstr 4, D-60311, Frankfurt am Main, Germany; PO Box 4308, 25-29 Venizelou St, Athens, Attica, GR 105 64, Greece; 3rd Floor, Aliktisad Bldg, Ras El Ein Street Baalbak, Baalbak, Lebanon; Saida Branch, Sida Riad Elsoleh St, Martyrs Sq, Saida, Lebanon; Borj Albarajneh Branch - 20 Alholom Bldg, Sahat Mreijeh, Kafaat St, Beirut, Lebanon; 1st Floor, Alrose Bldg, Verdun - Rashid Karame St, Beirut, Lebanon; PO Box 5126, Beirut, Lebanon; 3rd Floor, Mteco Centre, Mar Elias, Facing Al Hellow Barrak, POB 5126, Beirut, Lebanon; Alghobeiri Branch - Aljawhara Bldg, Ghobeiry Blvd, Beirut, Lebanon; PO Box 1269, Muscat, 112, Oman; PO Box 4425, Salwa Rd, Doha, Qatar; PO Box 2256, Doha, Qatar; 2nd Floor, No 181 Makhtoomgholi Ave, Ashgabat, Turkmenistan; PO Box 700, Abu Dhabi, United Arab Emirates; PO Box 16, Liwara Street, Ajman, United Arab Emirates; PO Box 1140, Al-Am Road, Al-Ein, Al Ain, Abu Dhabi, United Arab Emirates; Bur Dubai, Khaled Bin Al Walid St, Dubai City, United Arab Emirates; Sheikh Zayed Rd, Dubai City, United Arab Emirates; PO Box 4182, Almaktoum Rd, Dubai City, United Arab Emirates; PO Box 4182, Murshid Bazar Branch, Dubai City, United Arab Emirates; PO Box 316, Bank Saderat Bldg, Alaroda St, Borj Ave, Sharjah, United Arab Emirates; Ground Floor Business Room, Building Banke Khoon Road, Harat, Afghanistan; No. 56, Opposite of Security Department, Toraboz Khan Str., Kabul, Afghanistan; 5 Lothbury, London, EC2R 7HD, United Kingdom; Postfach 112227, Deichstrasse 11, 20459, Hamburg, Germany",Afghanistan
JAMA'AT UL DAWA AL-QU'RAN,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19949,Entity,SDGT,SDN,,strong: JAMAAT AL DAWA ILA AL SUNNAH; strong: JAMAAT UD DAWA IL AL QURAN AL SUNNAH; strong: JAMAAT UL DAWA AL QURAN; strong: JAMAAT-UD-DAWA AL QURAN WAL SUNNAH; strong: JAMA'AT DA'WA AL-SUNNAT; strong: JAMA'AT AL-DA'WA ALA-L-QURAN WA-L-SUNNA; strong: SOCIETY FOR THE CALL/INVITATION TO THE QURAN AND THE SUNNA; weak: JDQS; weak: SALAFI GROUP; strong: JAMA'AT AD-DA'WA AS-SALAFIYA WA-L-QITAL; strong: JAMIAT AL-DAWA AL-QURAN WAL-SUNNA; strong: ASSEMBLY FOR THE CALL OF THE KORAN AND THE SUNNAH; weak: JDQ, Afghanistan,Afghanistan
COMMANDER NAZIR GROUP,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=15830,Entity,SDGT,SDN,,strong: MULLAH NAZIR GROUP," South Waziristan, Pakistan; Paktika, Zabul, Helmand, Kandahar Provinces, Afghanistan",Afghanistan
FIDELIS LOGISTIC AND SUPPLY SERVICES,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=44599,Entity,GLOMAG,SDN,,,"Pul-e-Charkhi, Kabul, Afghanistan; Industrial Estate,",Afghanistan
AL-AKHTAR TRUST INTERNATIONAL,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=7946,Entity,SDGT,SDN,,strong: AKHTARABAD MEDICAL CAMP; strong: AL-AKHTAR MEDICAL CENTRE; strong: PAKISTAN RELIEF FOUNDATION; strong: PAKISTANI RELIEF FOUNDATION; strong: AZMAT-E-PAKISTAN TRUST; strong: AZMAT PAKISTAN TRUST,"ST-1/A, Gulshan-e-Iqbal, Block 2, Karachi, 75300, Pakistan; Bahawalpur, Pakistan; Bawalnagar, Pakistan; Gilgit, Pakistan; Gulistan-e-Jauhar, Block 12, Karachi, Pakistan; Islamabad, Pakistan; Mirpur Khas, Pakistan; Spin Boldak, Afghanistan; Tando-Jan-Muhammad, Pakistan",Afghanistan
BENEVOLENCE INTERNATIONAL FOUNDATION,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=7321,Entity,SDGT,SDN,,strong: AL BIR AL DAWALIA; weak: BIF; strong: BIF-USA; strong: MEZHDUNARODNYJ BLAGOTVORITEL'NYJ FOND,"Bashir Safar Ugli 69, Baku, Azerbaijan; 69 Boshir Safaroglu St., Baku, Azerbaijan; Sarajevo, Bosnia and Herzegovina; Zenica, Bosnia and Herzegovina; 3 King Street, South Waterloo, Ontario, N2J 3Z6, Canada; P.O. Box 1508 Station B, Mississauga, Ontario, L4Y 4G2, Canada; 2465 Cawthra Rd., #203, Mississauga, Ontario, L5A 3P2, Canada; Ottawa, Canada; Grozny, Chechnya, Russia; 91 Paihonggou, Lanzhou, Gansu, China; Hrvatov 30, 41000, Zagreb, Croatia; Makhachkala, Daghestan, Russia; Duisi, Georgia; Tbilisi, Georgia; Nazran, Ingushetia, Russia; Burgemeester Kessensingel 40, Maastricht, Netherlands; House 111, First Floor, Street 64, F-10/3, Islamabad, Pakistan; Azovskaya 6, km. 3, off. 401, Moscow, Russia; P.O. Box 1055, Peshawar, Pakistan; Ulitsa Oktyabr'skaya, dom. 89, Moscow, Russia; P.O. Box 1937, Khartoum, Sudan; P.O. Box 7600, Jeddah, 21472, Saudi Arabia; P.O. Box 10845, Riyadh, 11442, Saudi Arabia; Dushanbe, Tajikistan; United Kingdom; Afghanistan; Bangladesh; Bosnia and Herzegovina; Gaza Strip, Palestinian; Yemen; IL, United States",Afghanistan
HAJI JUMA KHAN ORGANIZATION,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=11502,Entity,SDNTK,SDN,,weak: HJK ORGANIZATION; weak: KHAN ORGANIZATION, Afghanistan; Pakistan,Afghanistan
HAJI KHAIRULLAH HAJI SATTAR MONEY EXCHANGE,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=15006,Entity,SDGT,SDN,,strong: HAJI KHAIRULLAH-HAJI SATTAR SARAFI; strong: HAJI KHAIRULLAH AND ABDUL SATTAR AND COMPANY; strong: HAJI KHAIRULLAH MONEY EXCHANGE; strong: HAJI KHAIR ULLAH MONEY SERVICE; strong: HAJI SALAM HAWALA; strong: HAJI HAKIM HAWALA; strong: HAJI ALIM HAWALA,"Chohar Mir Road, Quetta, Balochistan Province, Pakistan; Qandahari Bazaar, Room Number 1, Abdul Sattar Plaza, Quetta, Balochistan Province, Pakistan; Hafiz Saleem Street, Munsafi Road, Shop Number 3, Quetta, Pakistan; Dr. Bano Road, Office Number 3, Quetta, Pakistan; Dr. Bano Road, Near Fatima Jinnah Road, Kachara Road, Quetta, Pakistan; Naserullah Khan Chawk, Wazir Mohammad Road, Quetta, Balochistan Province, Pakistan; Moishah Chowk Road, Lahore, Punjab Province, Pakistan; Karachi, Sindh Province, Pakistan; 2 Larran Road, Chaman, Balochistan Province, Pakistan; Chaman Central Bazaar, Chaman, Balochistan Province, Pakistan; Shah Zada Market, Kabul, Afghanistan; Shop Number 237, Sarai Shahzada, Kabul, Afghanistan; 3rd Floor, Shop Number 257, Sharai Shahzada Market, Kabul, Afghanistan; Kandahar City Sarafi Market, Kandahar City, Kandahar Province, Afghanistan; 2nd Floor, Shop 21 and 22, New Sarafi Market, Kandahar City, Kandahar Province, Afghanistan; 2nd Floor, Safi Market, Kandahar City, Kandahar Province, Afghanistan; Gereshk City, Nahr-e Saraj District, Helmand Province, Afghanistan; Lashkar Gah Bazaar, Lashkar Gah District, Helmand Province, Afghanistan; Lashkar Gah, Haji Ghulam Nabi Market, Lashkar Gah District, Helmand Province, Afghanistan; 2nd Floor, Khorasan Market, Herat, Afghanistan; 3rd Floor, Suite Number 196-197, Shahre Naw, Herat, Afghanistan; District 5, Khorasan Market, Sarafi Market, Zaranj District, Nimroz Province, Afghanistan; Ansari Market, Nimroz, Afghanistan; 2nd Floor, Sarafi Market, Wesh, Afghanistan; Wesh, Spin Boldak District, Kandahar Province, Afghanistan; Sarafi Market, Farah, Afghanistan; Dubai, United Arab Emirates; Zahedan, Iran; Zabul, Iran; Peshawar, Khyber Paktunkhwa Province, Pakistan",Afghanistan
HAQQANI NETWORK,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=15484,Entity,FTO; SDGT,SDN,,weak: HQN, Afghanistan; Pakistan,Afghanistan
HARAKAT-UL JIHAD ISLAMI,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=12148,Entity,SDGT,SDN,,weak: HUJI; strong: MOVEMENT OF ISLAMIC HOLY WAR; strong: HARKAT-UL-JIHAD-AL ISLAMI; strong: HARKAT-AL-JIHAD-UL ISLAMI; strong: HARKAT-UL-JEHAD-AL-ISLAMI; strong: HARAKAT UL JIHAD-E-ISLAMI, Afghanistan; India; Pakistan,Afghanistan
ISIL KHORASAN,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18647,Entity,FTO; SDGT,SDN,,strong: ISLAMIC STATE'S KHORASAN PROVINCE; strong: ISIS WILAYAT KHORASAN; strong: ISIL'S SOUTH ASIA BRANCH; strong: SOUTH ASIAN CHAPTER OF ISIL; strong: THE ISLAMIC STATE OF IRAQ AND ASH-SHAM - KHORASAN PROVINCE; strong: THE ISLAMIC STATE OF IRAQ AND SYRIA - KHORASAN; strong: ISLAMIC STATE OF IRAQ AND LEVANT IN KHORASAN PROVINCE; strong: ISLAMIC STATE KHURASAN; strong: ISISK; strong: ISIS-K; strong: IS-KHORASAN, Afghanistan; Pakistan,Afghanistan
